epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,390.28,0.75358,0.54,1.11197,0.91558,0.84591,0.89398,0.65559,1.08048,0.64179,1.28772,0.000990365,0.000990365,0.000990365
43,399.507,0.77771,0.55631,1.12398,0.91619,0.85946,0.90871,0.6805,0.87564,0.56489,1.16635,0.000973861,0.000973861,0.000973861
44,408.721,0.75992,0.52833,1.11226,0.90484,0.84591,0.88732,0.66078,0.9129,0.61359,1.23962,0.000957358,0.000957358,0.000957358
45,417.935,0.7542,0.52918,1.10615,0.90651,0.85377,0.89496,0.68,0.87963,0.58569,1.18862,0.000940855,0.000940855,0.000940855
46,427.096,0.74406,0.52942,1.11991,0.90021,0.85106,0.89969,0.69856,0.84524,0.55734,1.17335,0.000924352,0.000924352,0.000924352
47,436.328,0.75668,0.52878,1.10602,0.91136,0.84591,0.89729,0.68207,0.91656,0.61305,1.1909,0.000907848,0.000907848,0.000907848
48,445.522,0.72801,0.51566,1.10417,0.91512,0.83333,0.89231,0.69189,0.84268,0.62606,1.13935,0.000891345,0.000891345,0.000891345
49,454.74,0.71987,0.50966,1.09826,0.94723,0.80818,0.88899,0.68681,0.8361,0.62252,1.13622,0.000874842,0.000874842,0.000874842
50,463.972,0.72063,0.50885,1.09549,0.91123,0.80703,0.8709,0.66947,0.86936,0.69364,1.18309,0.000858338,0.000858338,0.000858338
51,473.192,0.71737,0.5072,1.08982,0.92927,0.78503,0.87946,0.6599,0.92598,0.67884,1.20397,0.000841835,0.000841835,0.000841835
52,482.365,0.72373,0.5026,1.08882,0.94319,0.83648,0.90856,0.68778,0.89351,0.57506,1.17487,0.000825332,0.000825332,0.000825332
53,491.549,0.70578,0.49096,1.07824,0.92224,0.85777,0.90635,0.68883,0.86963,0.56026,1.14041,0.000808828,0.000808828,0.000808828
54,500.77,0.69346,0.47936,1.07741,0.90185,0.86683,0.9003,0.67353,0.89319,0.57321,1.19139,0.000792325,0.000792325,0.000792325
55,509.991,0.70316,0.48241,1.08291,0.93855,0.81646,0.88818,0.67362,0.91842,0.61486,1.20502,0.000775822,0.000775822,0.000775822
56,519.175,0.71695,0.48867,1.08949,0.92073,0.83019,0.90644,0.69999,0.92223,0.6353,1.1699,0.000759318,0.000759318,0.000759318
57,528.41,0.7046,0.48477,1.08423,0.93384,0.82704,0.89077,0.68463,0.86107,0.66658,1.17021,0.000742815,0.000742815,0.000742815
58,537.641,0.68454,0.46782,1.07309,0.90797,0.82075,0.88808,0.68412,0.84184,0.67675,1.17267,0.000726312,0.000726312,0.000726312
59,546.833,0.67619,0.46711,1.06856,0.8903,0.84223,0.88812,0.68686,0.86648,0.63569,1.18852,0.000709809,0.000709809,0.000709809
60,555.997,0.66181,0.46246,1.06558,0.93419,0.80355,0.8893,0.68402,0.83768,0.61596,1.149,0.000693305,0.000693305,0.000693305
61,565.184,0.67291,0.4626,1.06816,0.87816,0.81132,0.89124,0.67876,0.85198,0.58813,1.14705,0.000676802,0.000676802,0.000676802
62,574.321,0.67042,0.4573,1.06638,0.93362,0.84038,0.91317,0.68841,0.87005,0.54847,1.20167,0.000660299,0.000660299,0.000660299
63,583.525,0.67285,0.4642,1.07534,0.87599,0.8219,0.88197,0.68041,0.9152,0.6348,1.22636,0.000643795,0.000643795,0.000643795
64,592.746,0.67543,0.45715,1.06549,0.91948,0.84277,0.91385,0.68581,0.92506,0.5852,1.20795,0.000627292,0.000627292,0.000627292
65,601.931,0.65079,0.45144,1.05399,0.92619,0.86792,0.91627,0.70535,0.85268,0.52558,1.13346,0.000610789,0.000610789,0.000610789
66,611.185,0.67278,0.46281,1.06189,0.91629,0.83648,0.91168,0.70599,0.85165,0.6122,1.15808,0.000594286,0.000594286,0.000594286
67,620.396,0.64943,0.44431,1.05642,0.94151,0.78616,0.88611,0.66181,0.93332,0.71919,1.21578,0.000577782,0.000577782,0.000577782
68,629.627,0.6579,0.44356,1.05082,0.92068,0.8522,0.91288,0.7048,0.84389,0.60565,1.14762,0.000561279,0.000561279,0.000561279
69,638.847,0.65445,0.45156,1.06255,0.93758,0.8239,0.88677,0.68373,0.83971,0.6157,1.16065,0.000544776,0.000544776,0.000544776
70,648.067,0.64721,0.43973,1.04502,0.92456,0.84788,0.90171,0.70551,0.83151,0.59539,1.14223,0.000528272,0.000528272,0.000528272
71,657.321,0.65528,0.43876,1.05604,0.90606,0.8522,0.91297,0.70147,0.82766,0.60891,1.15673,0.000511769,0.000511769,0.000511769
72,666.485,0.63505,0.4386,1.04896,0.91613,0.83333,0.9065,0.70597,0.8692,0.60555,1.15913,0.000495266,0.000495266,0.000495266
73,675.644,0.63325,0.43196,1.0486,0.91142,0.84122,0.90596,0.7125,0.83239,0.58693,1.11176,0.000478762,0.000478762,0.000478762
74,684.809,0.63075,0.42695,1.04641,0.9275,0.84277,0.89597,0.70148,0.8374,0.59123,1.13951,0.000462259,0.000462259,0.000462259
75,693.938,0.62278,0.41475,1.04699,0.91366,0.83189,0.89457,0.69503,0.84956,0.66068,1.15196,0.000445756,0.000445756,0.000445756
76,703.131,0.62725,0.41808,1.03841,0.92974,0.8323,0.90854,0.70746,0.87014,0.66185,1.16016,0.000429253,0.000429253,0.000429253
77,712.324,0.62309,0.41828,1.04436,0.94896,0.81852,0.90187,0.70796,0.85462,0.5707,1.15863,0.000412749,0.000412749,0.000412749
78,721.503,0.60881,0.40925,1.03566,0.93893,0.8239,0.89369,0.69651,0.86955,0.59098,1.18345,0.000396246,0.000396246,0.000396246
79,730.67,0.60738,0.41971,1.03656,0.94383,0.83962,0.91062,0.71337,0.83911,0.58557,1.17351,0.000379743,0.000379743,0.000379743
80,739.919,0.60556,0.41067,1.02455,0.93234,0.82329,0.8907,0.69883,0.84706,0.5843,1.15687,0.000363239,0.000363239,0.000363239
81,749.074,0.61134,0.41809,1.04212,0.92363,0.83672,0.89637,0.70166,0.86811,0.59824,1.15581,0.000346736,0.000346736,0.000346736
82,758.277,0.58805,0.39886,1.03026,0.9239,0.84277,0.90402,0.70769,0.8343,0.60364,1.14572,0.000330233,0.000330233,0.000330233
83,767.458,0.59509,0.39396,1.0283,0.91018,0.83333,0.90318,0.70935,0.81287,0.55538,1.13589,0.000313729,0.000313729,0.000313729
84,776.601,0.58719,0.39893,1.02386,0.9274,0.84351,0.9051,0.71257,0.83183,0.55431,1.16014,0.000297226,0.000297226,0.000297226
85,785.808,0.5818,0.38539,1.01865,0.93147,0.84906,0.9084,0.70979,0.83261,0.55176,1.1381,0.000280723,0.000280723,0.000280723
86,795.007,0.57765,0.38946,1.01805,0.93127,0.83019,0.89784,0.69969,0.84525,0.60231,1.14937,0.00026422,0.00026422,0.00026422
87,804.192,0.58864,0.39819,1.02514,0.93633,0.83238,0.89694,0.7051,0.79368,0.57698,1.11054,0.000247716,0.000247716,0.000247716
88,813.392,0.57102,0.38812,1.01663,0.92598,0.8261,0.90204,0.7119,0.83759,0.63504,1.13628,0.000231213,0.000231213,0.000231213
89,822.582,0.58323,0.38882,1.02154,0.92696,0.84277,0.90417,0.71648,0.80012,0.59477,1.10722,0.00021471,0.00021471,0.00021471
90,831.769,0.57223,0.3897,1.02198,0.92281,0.83333,0.90009,0.71471,0.84128,0.60708,1.14349,0.000198206,0.000198206,0.000198206
91,841.88,0.5354,0.33162,1.01281,0.92461,0.84851,0.89597,0.69898,0.83737,0.56545,1.13215,0.000181703,0.000181703,0.000181703
92,850.988,0.50628,0.29892,0.99759,0.9129,0.86164,0.89874,0.70351,0.84601,0.57294,1.13765,0.0001652,0.0001652,0.0001652
93,860.087,0.48977,0.29275,0.98638,0.91189,0.86792,0.90148,0.7095,0.83447,0.54915,1.13502,0.000148696,0.000148696,0.000148696
94,869.155,0.46944,0.27803,0.97488,0.9239,0.85535,0.90166,0.70942,0.87078,0.6004,1.15436,0.000132193,0.000132193,0.000132193
95,878.241,0.47559,0.28373,0.97554,0.92793,0.85028,0.90199,0.71575,0.84413,0.55875,1.13939,0.00011569,0.00011569,0.00011569
96,887.322,0.46593,0.27788,0.97055,0.91308,0.85892,0.91207,0.71472,0.85024,0.54432,1.14728,9.91865e-05,9.91865e-05,9.91865e-05
97,896.404,0.47442,0.27783,0.97823,0.93052,0.84228,0.90609,0.72002,0.81704,0.57256,1.13299,8.26832e-05,8.26832e-05,8.26832e-05
98,905.484,0.46193,0.27451,0.96485,0.9368,0.839,0.90125,0.71076,0.8414,0.58016,1.15058,6.61799e-05,6.61799e-05,6.61799e-05
99,914.565,0.45526,0.2684,0.96396,0.92772,0.84591,0.90456,0.71359,0.82704,0.56814,1.13585,4.96766e-05,4.96766e-05,4.96766e-05
100,923.639,0.453,0.27228,0.97151,0.92757,0.84565,0.90362,0.71323,0.83315,0.57086,1.13893,3.31733e-05,3.31733e-05,3.31733e-05
