epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5708,1.26597,1.89861,1.51984,0.79193,0.62264,0.74039,0.44742,1.29464,1.23876,1.57701,0.000549352,0.000549352,0.000549352
2,21.1059,1.22878,1.39256,1.4525,0.51731,0.51572,0.50994,0.27318,1.73857,1.74892,1.90567,0.00109408,0.00109408,0.00109408
3,30.6632,1.22895,1.27893,1.46471,0.62459,0.50226,0.57034,0.32399,1.75394,1.90488,2.1015,0.0016278,0.0016278,0.0016278
4,40.1007,1.22936,1.18348,1.43181,0.65471,0.60692,0.64266,0.32884,1.77099,1.94337,1.94115,0.00161749,0.00161749,0.00161749
5,49.465,1.19281,1.11287,1.43054,0.84158,0.7044,0.79782,0.50584,1.37401,1.1147,1.6025,0.00160099,0.00160099,0.00160099
6,58.754,1.14468,1.02136,1.37776,0.66466,0.55472,0.56837,0.32872,1.6507,1.61794,1.75819,0.00158448,0.00158448,0.00158448
7,67.9412,1.139,1.00528,1.37523,0.85541,0.76277,0.84224,0.59699,1.08464,0.84216,1.38532,0.00156798,0.00156798,0.00156798
8,77.1653,1.11461,0.94611,1.352,0.79053,0.65273,0.73812,0.46845,1.37023,1.2665,1.57922,0.00155148,0.00155148,0.00155148
9,86.3325,1.07718,0.92327,1.33161,0.93035,0.72642,0.84592,0.58629,1.09841,0.81922,1.39814,0.00153497,0.00153497,0.00153497
10,95.6934,1.05791,0.88491,1.30957,0.84036,0.74493,0.80749,0.52612,1.19748,0.89328,1.48957,0.00151847,0.00151847,0.00151847
11,105.34,1.06613,0.88683,1.32211,0.86373,0.77738,0.84244,0.54987,1.23078,0.84712,1.4384,0.00150197,0.00150197,0.00150197
12,114.907,1.07632,0.89364,1.31396,0.88381,0.81325,0.8796,0.58644,1.22205,0.85849,1.39804,0.00148546,0.00148546,0.00148546
