epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,919.057,0.52926,0.32901,0.86921,0.99709,0.98873,0.99081,0.9131,0.40764,0.25975,0.828,0.000828443,0.000828443,0.000828443
43,940.832,0.53564,0.32438,0.87135,1,0.98994,0.99116,0.90507,0.45346,0.25336,0.82535,0.000820525,0.000820525,0.000820525
44,962.495,0.53761,0.32198,0.87266,0.99736,0.98771,0.99114,0.87953,0.54224,0.26512,0.84354,0.000812468,0.000812468,0.000812468
45,985.167,0.54904,0.33376,0.87509,0.98933,0.98873,0.99,0.90759,0.40953,0.24883,0.82381,0.000804277,0.000804277,0.000804277
46,1006.94,0.54308,0.3235,0.86656,0.99785,0.99026,0.99103,0.87148,0.54798,0.26685,0.84045,0.000795954,0.000795954,0.000795954
47,1028.77,0.54225,0.32097,0.86265,0.99942,0.99115,0.99122,0.89484,0.46686,0.27326,0.83719,0.000787503,0.000787503,0.000787503
48,1050.69,0.52936,0.30922,0.86854,0.99869,0.991,0.99184,0.91701,0.41425,0.23867,0.82671,0.000778929,0.000778929,0.000778929
49,1072.49,0.52506,0.32086,0.86694,0.99779,0.99114,0.99083,0.84356,0.63023,0.2794,0.86494,0.000770234,0.000770234,0.000770234
50,1094.16,0.51632,0.31215,0.86431,0.99852,0.99057,0.99146,0.88352,0.51413,0.26167,0.84177,0.000761423,0.000761423,0.000761423
51,1116.02,0.53415,0.32317,0.87428,0.99882,0.98893,0.99106,0.93266,0.40015,0.24975,0.83084,0.0007525,0.0007525,0.0007525
52,1138.91,0.49675,0.30938,0.86002,0.99847,0.99138,0.99148,0.91805,0.41013,0.24308,0.82478,0.000743468,0.000743468,0.000743468
53,1161.27,0.49853,0.30347,0.86413,0.99805,0.99111,0.99059,0.88542,0.49263,0.26658,0.83674,0.000734332,0.000734332,0.000734332
