vong,t_iot,t_nav,t_ai_lock,t_smart_goal,t_order,t_bep_verify,t_giao,t_ve_sac,tong_phut
1,0.13,26.60,-1782985562.63,0.00,0.00,0.00,0.00,1782985648.99,1.88
1,0.13,19.73,8.88,45.59,11.10,-1782985901.38,0.00,1782985921.83,1.76
1,0.13,21.12,7.84,28.81,7.67,-1782986187.56,0.00,1782986214.90,1.55
1,0.13,21.95,9.01,32.53,9.04,-1782986654.04,0.00,1782986677.79,1.60
1,0.13,36.08,9.32,34.51,8.69,-1782987158.83,0.00,1782987181.78,1.86
1,0.13,22.62,13.39,31.46,11.00,-1782987985.43,0.00,1782988008.48,1.69
1,0.13,34.46,10.05,24.77,8.31,-1782988993.71,0.00,1782989012.78,1.61
1,0.13,25.32,8.45,32.63,9.24,-1782989480.52,0.00,1782989496.39,1.53
1,0.13,28.28,9.58,38.31,8.51,-1782989795.49,0.00,1782989815.83,1.75
